product_id,name,uom,usual_price,category_id,country_of_origin,eco_info,ingredients,tags
PR2,"Whole Wheat Bread, Freshly Baked",loaf,2.49,CA102,Local,"Ingredients sourced locally with minimal packaging reduce transportation emissions and support local economies. By minimizing packaging, these products aim to reduce environmental footprint throughout their lifecycle, promoting sustainability and reducing waste.","Whole wheat flour, Water","Whole grain, Bakery"
PR3,"Fresh Atlantic Salmon Fillet, Sustainably Sourced",kg,15.99,CA103,Norway,"Products sourced from sustainable fisheries ensure that wild-caught stocks are harvested responsibly. This supports the long-term health of marine ecosystems by preventing overfishing and preserving biodiversity in oceans, ensuring consumers can enjoy seafood that is sourced in an environmentally responsible manner.",Salmon,"Seafood, Healthy"
PR4,"Organic Baby Spinach, Triple-Washed",bunch,2.75,CA104,Local,"Products made with organic farming practices and without GMOs prioritize soil health and biodiversity. By avoiding synthetic chemicals and genetic modification, these practices promote sustainable agriculture, benefiting both environmental sustainability and consumer health with products that are natural and free from artificial alterations.",Spinach,"Leafy greens, Organic"
PR5,"Fair Trade Organic Coffee Beans, Medium Roast",g,12.99,CA105,Ethiopia,"Products ethically sourced with fair wages support equitable labor practices and sustainable supply chains. By ensuring fair compensation and working conditions for producers, these products promote social equity and empower communities, offering consumers choices that align with ethical values and contribute positively to global sustainability efforts.",Coffee beans,"Sustainable, Aromatic"
PR6,"Free-Range Chicken Eggs, Grade A Large",dozen,5.49,CA106,Local,"Products from chickens raised in humane conditions prioritize animal welfare throughout their lifecycle. From spacious living environments to responsible care practices, these products ensure ethical farming standards, providing consumers with meat and eggs that reflect compassionate treatment of animals and support for humane farming practices.",Chicken eggs,"Free-range, Protein"
PR7,"Organic White Quinoa, Non-GMO",kg,8.5,CA101,Bolivia,"Products sustainably sourced from local farms reduce carbon emissions from transportation and support community resilience. By prioritizing local sourcing, these products ensure freshness, support local economies, and promote environmental sustainability by minimizing the environmental impact associated with long-distance transportation of goods.",Organic quinoa,"Gluten-free, Superfood"
PR8,"Hass Avocado, Ripe and Ready to Eat",piece,1.99,CA107,Mexico,"Grown without synthetic pesticides or fertilizers, these products support natural cultivation methods, ensuring healthier ecosystems and reduced environmental impact by avoiding potentially harmful chemicals.",Avocado,"Healthy fats, Fruit"
PR9,"Almond Milk, Unsweetened",liter,3.25,CA108,USA,"Made from sustainably harvested almonds, these products promote responsible sourcing practices, supporting the long-term health of almond orchards and reducing environmental impact.","Almonds, Water","Dairy-free, Vegan"
PR10,"Organic Roma Tomatoes, Vine-Ripened",kg,4.25,CA109,Local,"Organic farming practices with no synthetic chemicals ensure that these products prioritize soil health and biodiversity, supporting sustainable agriculture and producing natural, chemical-free products.",Tomatoes,"Organic, Vegetables"
PR11,"Whole Grain Penne Pasta, Organic",pack,2.99,CA110,Italy,"Made from whole grain durum wheat, these products support sustainable agriculture practices, providing consumers with nutritious, high-quality ingredients.","Whole wheat flour, Water","Pasta, Whole grain"
PR12,"Grass-Fed Angus Beef, Lean Ground",kg,19.99,CA111,Local,"Grass-fed and raised without antibiotics or hormones, these products promote natural animal husbandry practices, ensuring healthier meat products for consumers.",Beef,"Grass-fed, Protein"
PR13,"Organic Lacinato Kale, Fresh",bunch,3.49,CA104,Local,"Organic farming practices with no GMOs ensure that these products prioritize soil health and biodiversity, promoting sustainable agriculture and offering natural, genetically unmodified products.",Kale,"Leafy greens, Organic"
PR14,"Organic Blueberries, Handpicked",kg,12.99,CA112,USA,"Grown without synthetic pesticides or fertilizers, these products support natural cultivation methods, ensuring healthier ecosystems and reduced environmental impact by avoiding potentially harmful chemicals.",Organic blueberries,"Organic, Berries"
PR15,"Quinoa Flour, Gluten-Free",kg,6.99,CA113,Peru,"Ethically sourced and supporting local farmers, these products promote fair labor practices and local economic growth, offering consumers ethical and sustainably produced choices.",Quinoa flour,"Gluten-free, Baking"
PR16,"Organic Whole Milk, Pasture-Raised",liter,2.99,CA114,Local,"Produced without synthetic hormones or antibiotics, these products ensure healthier options for consumers while promoting responsible animal husbandry practices.",Milk,"Dairy, Organic"
PR17,"Wild-Caught Alaskan Salmon, Fillet",fillet,22.99,CA115,Alaska,"Sustainably harvested from wild stocks, these products support the long-term health of marine ecosystems, ensuring responsible fishing practices and preserving biodiversity.",Salmon,"Seafood, Wild-caught"
PR18,"Organic Broccoli Florets, Fresh",bunch,2.99,CA116,Local,"Organic farming practices with no synthetic chemicals ensure that these products prioritize soil health and biodiversity, supporting sustainable agriculture and producing natural, chemical-free products.",Broccoli,"Organic, Vegetables"
PR19,"Organic Creamy Peanut Butter, Unsweetened",jar,5.99,CA117,USA,"Made with organic peanuts and no added sugars, these products offer natural, healthy ingredients while supporting sustainable farming practices.",Peanuts,"Organic, Nut butter"
